headline,word1,word2,joke,label
感应龙头失效引人怀疑人生存在,猛伸,水流,人生的长河里面，最让人怀疑自己其实并不存在的时刻，莫过于将手在感应式龙头下面猛伸，却依然没有水流出来的那一刹那。,1
谁都不爱时，可爱上任何人,爱上,任何人,当一个人谁都不爱的时候，他就可以爱上身边的任何一个人。,1
学生课堂突发‘幻觉’发言引热议,叫喊,幻觉,某日，老师上科学课。老师问人体有什么感觉？ 有同学说听觉，有说触觉，还有说视觉…… 小明大声叫喊道：“还有幻觉！”,1
傻瓜戴王冠将成国王,戴着,王冠,如果每个傻瓜都戴着王冠，我们都会成为国王。,1
太阳决定上班，人却选择睡觉,出来,睡觉,如果太阳不出来了，我就不去上班了；如果出来了，我就继续睡觉！,1
她揭秘自身幽默感来源,理解,幽默感,她的秘密在于她理解她的幽默感 - 它是什么以及它是什么。,0
独一无二的谎言,记住,独一无二,永远记住，你是绝对独一无二。就像其他人一样。,1
大学反向‘上’学生引发网络热议,留下,青春,当大学从我身上下来，提着裤子说：你可以走，但青春心必须留下，此刻，我才恍然大悟：不是我上大学而是大学上了我!,1
车间停电仍点蜡烛加工零件,点,蜡烛,机床班接到了加工一批机器零件的紧急任务，可是，加工了一半突然停电了，工人急忙向主任汇报问怎么办？ 为保任务，主任果断命令：那也不能停，点蜡烛继续干！,1
单身汉冰箱寻物未果入睡,去看,冰箱,单身汉去冰箱，看不到他们想要的东西，然后去睡觉。,0
计算机缺乏核心组件将无法运行,完成,工作,如果没有它们，计算机是一种更有趣的方式来完成同样的工作。,0
眼镜蛇改戴博士仑引热议,戴,博士仑,儿子看了电视里的眼镜蛇介绍，他问爸爸：“眼镜蛇的眼镜呢？” 爸爸想了一会儿说：“过去它们戴眼镜，现在都戴博士仑了。”,1
不了解催生自信,不了解,自信,当你不了解情况时，你就有了自信。,1
爱如腹泻难以忍受,忍受,腹泻,我对你的爱就像腹泻一样，我无法忍受它。,0
金钱谈判终结，再见成定局,谈判,金钱,金钱谈判......但我所说的都是再见。,0
夜灯变探照灯引发半夜使用争议,计时,夜灯,我的夜灯是探​​照灯。如果我必须在半夜起床去洗手间，我必须把它计时，这样我就不会被抓住。,0
生活就是出生与存活,活下去,生活,生活嘛，就是生下来，活下去。,1
白痴机器引发热议,建造,白痴,建造一个白痴可以使用的机器，只有白痴才会想要使用它。,1
女性忽视体育魅力，男性寻求娱乐逃避现实,寻求,娱乐,女性不了解体育的吸引力。男人寻求娱乐，让他们逃避现实。,0
澡堂搓背工吐槽无法认识人,搓背,脸,一个阿姨是一家澡堂的搓背工，邻居问她：“你在那里认识很多人吧？” 阿姨说：“我没认识一人，搓背时看不到人的脸，只有美容师才认识很多人。”,1
海底喊声引热议：500名男人如何回应,叫叫,男人,你在海底叫什么叫500名男人？,1
年龄引发思想讨论,引发,年龄,年龄是一个关于物质的思想问题。如果你不介意，那没关系。,0
网友调侃贷款到期引发表情包大战,欠,贷款,你跟谁俩整那表情呢。我欠你贷款要到期了还是怎么的。,1
男友月薪不够花遭女友追问,感觉,工资,女友羞涩地问男友：“自从咱俩认识以后，你感觉咋样？” 男友欲言又止。 女友催促：“你快说呀！” 男友挠挠头：“我感觉每个月工资都不够花……”,1
孩子从不为自己做的事,不会,做事,孩子们永远不会为自己做的两件事。,0
空中是否存在除中间外的空气,存在,空气,什么是空中？除中间部分外还有部分空气吗？,0
推销员被逼辞职因经理说让他辞职,辞职,经理,一名推销员气愤地对同事说：“如果老板不收回他刚才说的话，我就辞职。” “经理对你说了什么话？” “让我辞职。”,1
女孩买巧克力称男娃娃多一块,买,娃娃,幼儿园的小女孩到糖果店买娃娃型的巧克力。 老板问：你要男娃娃？还是女娃娃？ 小女孩说：当然是男娃娃它比女娃娃多了一块。,1
申请表误写成开房申请表,签字,申请表,今天我拿一张“开户申请表”盖章，找领导签字。 领导的眼神小波动了一下，签了。 我拿回来仔细一看，写成了：开房申请表。,1
政治家剪羊毛引发争议,剪,羊毛,一位政治家剪羊毛。这位政治家剥削了他们。,0
动物肉为何是肉,吃,动物,如果我们不打算吃动物......那为什么它们是用肉做的？,1
下雨情况可能恶化,可能,下雨,嗯..情况可能更糟：可能正在下雨......我们可能会在其中。,0
网红洗发后头屑暴增引热议,去,头屑,秀发去无踪，头屑更出众！,1
自我成就源于自豪感,感到,成就,如果你为自己的成就感到自豪，那么你就是自己。,0
夫妻争吵因邻居觊觎妻子引发,盯着,妻子,妻子：隔壁那个老三，他时时盯着我看。 丈夫：你不要理他就行了。 妻子：我今天对你说了，你却不在意，以后我被他看上了，可与我不相干！,1
教官报幕引笑料：哭沙与同一首歌的误会,报幕,哭沙,大一时，我们教官特逗，两个门牙全掉了，一次我们歌唱比赛，上面报幕，下一首：哭沙。 教官嘟囔：哭啥？ 过一会又报幕：同一首歌。 教官又不解：还唱一遍？,1
情侣威胁卧轨引发网络热议,拒绝,卧轨,如果你拒绝我，艾丽莎，那我就去卧轨。 你让我再想一想，反正离今天的末次火车到站时间还早着呢！,1
夏天建房冬天缩水引发购房纠纷,买,房子,买者：在你处买的房子整整少了4个平方米！ 卖者：你买的房子是夏天造的，而现在是冬天了呀！,1
餐厅经理外出就餐被顾客投诉,见,经理,食客：你们店的食物糟透了，我要见你们的经理。 侍应生：对不起，先生，我们的经理到外面吃东西去了。,1
广告自行车缺车灯引争议,没有,车灯,先生，我买的这辆自行车为什么没有车灯？广告上明明有的！ 废话，广告上还有一个小姐呢！,1
捐款竟以升为单位引发热议,捐,升,我说：“好，大家伙儿一般都捐多少？” 那哥们说：“看情况吧，有捐2升的，也有捐10升的……”,1
信徒调侃基督为罪而死却不要他失望,不要,失望,基督为我们的罪而死，所以我不要让他失望。,1
地铁拥挤致人流产与怀孕引热议,被挤,怀孕,两人抱怨地铁过于拥挤。 甲说：“前些时候我老婆乘地铁的时候被挤的流产了。” 乙说：“那还不算什么，我老婆前几天被挤的怀孕了！”,1
圣水制造方法曝光,制造,圣水,你知道如何制造圣水吗？你需要一些普通的水，然后你就可以了。,0
结交与珍惜朋友,结交,朋友,永远结交新朋友但不要忘记旧朋友。,0
理发师用磁铁找剪刀引热议,找,剪刀,理发店里坐着一个长发蓬松的年轻人，理发师拿着一大块磁铁围着他脑袋上下左右不断比划。 年轻人忍不住问：“您这是最新理发技术？” 理发师：“不，我在找剪刀。”,1
丈夫夸秘书能力漂亮却穿得飞快,穿,秘书,女：老公，你的女秘书工作能力怎么样？ 男：相当强！ 女：她长的怎么样？ 男：相当漂亮！ 女：她穿衣怎么样？ 男：穿的相当快！,1
警惕与疯狂者共眠的风险,不要,疯狂,永远不要和比你自己一样疯狂的人睡觉。,0
生活二字让人大脑抽搐,回味,生活,生活二字二几十年来回味得我大小脑抽搐，脊髓痉挛。始终不得要领。,1
父子对话揭秘双胞胎生死之谜,是,弟弟,爸爸：“其实你不是独子，你是双胞胎之一，你是哥哥，后来你死了……你是你弟弟……”,1
未知物品状况良好,知道,状况,我不知道它是什么，但它的状况很好。,0
言论自相矛盾,矛盾,言论,这句话与自己相矛盾 - 实际上并非如此。,0
伪君子现场树榜样的荒诞真相,树立,榜样,伪君子是一个在有观众时树立好榜样的人。,1
情史浓缩为一字引发网友热议,代替,女朋友,如果每个女朋友用一个字来代替的话，我的情史可以写一部长篇小说了。,1
丈夫被妻子吐槽多生耳朵,恨,耳朵,查理：您太太如何评价？ 比尔：她说只恨自已多生了两只耳朵。,1
机会来临，你准备好了吗？,得到,机会,总有一天你会得到你的大好机会 - 或者你已经拥有它了吗？,1
毕业生问校名遭嘲讽：我刚上大一,问,校名,今天去学校领毕业证，兴奋之余拉住一路过的哥们问：哎，这学校叫什么来着？ 那哥们狠狠瞪了我一眼道：我怎么知道，我才上大一！,1
波兰人 vs 荷兰人：名字背后的幽默误会,被称为,荷兰人,如果来自波兰的人被称为“波兰人”，那么为什么来自荷兰的人不会被称为“洞”？,1
顾客买错家具店咖啡桌成梗,买,咖啡桌,昨天我去了家具店给自己买了一张“脱咖啡”的咖啡桌,1
准备火攻目标,准备,目标,准备 - 火 - 目标。,0
宽恕胜于诉讼,宽恕,诉讼,当有人伤害我时，我知道宽恕比诉讼便宜，但不是那么令人满意。,0
老师讲课口水飞学生称见彩虹,飞,彩虹,初中一语文老师，讲课时口水乱飞。 一日讲课，讲到激昂的时候，前排同学竟然说看到了彩虹。,1
公司员工爆料存在同性恋员工,抱,同性恋,男职员：“老板，我们公司有同性恋。” 老板：“啊！是谁？” 男职员：“你抱我一下，我就告诉你。”,1
学生组词误读毛主席席引发热议,读,毛,老师教生字“毛”，考一个学生学得如何，要求读对并组词。 学生：“毛，毛，毛主席的席。”,1
妻子吐槽配偶不如丈夫配偶,强于,配偶,妻：从各方面看，我都强于你，唯有一点我不如你。 夫：哪一点不如我呢？ 妻：我的配偶不如你的配偶。,1
人被草坪吸住诡异事件,抓住,草坪,你必须抓住草坪，以防止从地上掉下来。,1
巴黎酒店电梯呼吁留下价值观,留下,价值观,在巴黎酒店电梯：请在前台留下您的价值观。,0
网友调侃克制魔性却忽略打酱油鬼,克制,魔,我努力克制心中那集大成的魔，却忽略你可能只是那打酱油的鬼。,1
主人失败，学生无过,失败,学生,没有超过他的主人的学生，他的主人失败了。,0
鲸鱼被剃毛引争议,剃掉,头发,鲸鱼是哺乳动物。哺乳动物有头发。剃掉鲸鱼！,1
早喝咖啡会保持清醒到中午,喝,咖啡,上午早些时候不要喝咖啡它会让你保持清醒直到中午。,1
女性用完马桶不放座圈引热议,不会,座圈,我的一个烦恼是女性在完成后不会将马桶座放回去。,1
女子分手一周换男友 男子建议一天换一个赚钱,换,男朋友,女：“分手了我要一周换一个男朋友。” 男：“一天换一个吧！还有钱赚。”,1
烛光下看电视成新风尚,看电视,烛光,如果不是用电，我们都会在烛光下看电视。,0
豆腐渣工程被豆腐起诉称侮辱,起诉,豆腐,豆腐渣工程被豆腐起诉，涉嫌侮辱豆腐。,1
水槽柜子发现神秘物品,发现,柜子,亲爱的：在水槽右边的柜子里。,0
工人陷入工作秘密迷局,不知,工作,我工作的秘密使我不知道自己在做什么。,0
隧道尽头光线错误,看到,光线,在隧道尽头看到的光线是错误的一端。,0
是否能找到失踪人员引发疑问,找到,人员,我跟他说过......你认为我们会找到他们吗？,0
鲜花与牛粪互夸魅力,插,牛粪,鲜花对牛粪说：“我插在你身上是你的荣幸。” 牛粪对鲜花说：“你插在我身上是我的魅力。”,1
高三老师劝学生别早恋别表白,别,早恋,高三老师对全班同学说：“马上就要高考了，早恋的就别吵架了，免得影响心情。　还没早恋的就别表白了，免得被拒绝影响心情。”,1
凌晨吃鸡翅扰乱胃部健康,扰乱,鸡翅,凌晨3点吃一篮鸡翅会严重扰乱你的胃，而不是沉淀。,0
统计数据或成熟人知己,熟悉,数据,好的统计数据可能不是你的朋友，但你应该至少有一个熟悉的熟人。,0
课堂上学生靠直觉答题引热议,选,直觉,今天，英语课上老师正对题。 叫起一同学，问：“这道题选什么？” “A” “那你说说，为什么选A” 那同学淡定道：“直觉....”,1
丈夫夜玩牌被妻警告带牌友过夜,带,牌友,张三天天玩牌，常常夜不归宿。 他老婆不高兴地抱怨说：“如果你再这样的话，我就要把男人带回家过夜。” “随便你啦！不过你得注意，不能拉我的牌友。”,1
红绿灯竟在红灯区停车,停下,红灯区,管红绿灯，一律不停！不过遇到红灯区，就停下来了。,1
单身汉离婚时欺骗女性被曝光,欺骗,女人,单身汉是一个自私的，不值得的人，在离婚时欺骗了一些女人。,0
洗衣机不跟踪用户一周,装入,洗衣机,在您装入洗衣机后，洗衣机不会跟踪您一周。,0
父母从心里表现,表现,父母,一个孩子会从他们的心中为他们的教练/老师表现，但对于父母来说，他们是从心里表现出来的。,0
意大利男子为女子杀害另一男子,杀死,男子,一名意大利男子为意大利女子杀死了另一名意大利男子。,0
坚持自我，成就完整人生,坚持,自我,不要妥协自己，你就是你所拥有的一切。,0
厨师因锅生锈被老板质问,换,锅,老板说：“怎么又要换锅呢？” 厨师回答：“锅里常年不见油，锅底又锈掉了。”,1
15岁少女深夜约会被母怒斥,搞,对象,深夜，母亲：“你这死丫头，才15岁就搞对象，整天不回家。 连你母亲30岁生日你也不来。”,1
中年期面临自我照顾挑战,照顾,自己,中年是青春期和退休之间的艰难时期，当你必须照顾好自己。,0
如何通过重读实现不朽,读,建议,如何成为不朽：明天再读一遍并遵循其建议。,1
刮胡子新方法引发网友热议,靠近,刀片,下次刮胡子时，请尝试靠近刀片一两英寸。,1
男子因妻搜查口袋离婚，剪报放口袋,剪,口袋,有人把报上登的一则新闻剪下来。那段新闻上讲，有个男子因为太太常常搜查他的口袋而离婚。 “你剪这段新闻干什么？”有人问他。 “放在口袋里。”他答道。,1
美国汽车端到端将影响劳动节周末,变成,汽车,如果美国的所有汽车都是端到端的，那可能就是劳动节周末。,0
心情差时去超市捏方便面,捏,方便面,心情不好的時候去超市捏方便面。,1
女生跑步千余米竟玩神庙逃亡,跑,手机,舍友一天到晚不停的吃，我们都说她快胖死了， 她说：“没事的，我一天都跑好几千米。” 说着举起了她的手机，让我们看神庙逃亡。,1
高考清晨骑车遇父亲引发尴尬瞬间,骑着,电动车,记得当年高考的时候，早上7点半我骑着电动车准备出发，在门口碰到我爸。 我爸问我：这是要去哪玩... 你们能想象我当时的心情么？！,1
女职员迟到称被男人拖慢步伐,跟着,时间,科长：你又迟到！ 女职员：我今天出门后有个男人紧紧跟着我。 科长：这为什么会让你迟到？ 女职员：那个人走得很慢，所以时间就拖长了……,1
心灵感应竟要按喇叭,按,喇叭,如果你是心灵感应的话，请“按喇叭”。,1
女人变美丈夫变亮,变得,美丽,所以，这个女人变得美丽，丈夫变得漂亮了两倍。,0
最爱电视广告,播出,广告,我很乐意，但我最喜欢的广告是在电视上播出。,0
父子对比：制鞋匠 vs 牙医,嫌弃,鞋子,约翰：你爸爸简直像个吝啬鬼，你看看，他是一个制鞋匠，你还穿那么破的鞋子。 汤姆：那你爸爸呢？他是个有名的牙科医生，而你小弟弟却只有一颗牙！,1
老师禁止骗人却允许美丽谎言,说,美丽,要不是老师说不准骗人，你现在还是挺美丽的。,1
名人遗言曝光：这是安全的做法,安全,做法,着名的遗言：这是安全的做法......,1
猫称祖先吃人类,知道,祖先,猫幽默我们因为他们知道他们的祖先吃了我们的。,1
唱歌流泪？医生建议塞棉花止泪,塞住,耳朵,医生，我太容易激动了，每次一唱歌就要流眼泪。您看怎么办呢？ 太简单了，每次唱歌时你用棉花把耳朵塞住就行了。,1
学生考英语因星座运程挂科引热议,凭感觉,星座,刚考完英语，恰好看到自己的本日星座运程：切勿凭感觉行事。大惊！完了，挂了。,1
老板送盆被老外拒之门外,摇头,盆子,后来老板给他一个盆子，老外见状，连忙摇头说：“NO，NO，NO。” 老板纳闷道：“我这新进的盆，不漏啊！”,1
夫妻夜购防晒霜竟因过期引发笑点,抹,防晒霜,老婆晚饭后要去超市，临走之前抹起了防晒霜。 我问道：“大晚上的，外面又没太阳，你抹防晒霜干吗？” 老婆说道：“你不知道，这个防晒霜快过期了！”,1
电力来自电子，道德来自蠢货？,来自,蠢货,如果电力来自电子，道德是否来自蠢货？,1
工资死板，少上班才对得起劳动,少上,上班,工资是死的，要让工资对得起上班，就只好少上班了。,1
男生调侃家国事关我屁事,冒出,屁事,谁知，一男生冒出一句：“家事国事天下事，关我屁事……”,1
‘我爱你’不如‘我娶你’一句实话,娶,你,再多的“我爱你”抵不上一句“我娶你”。,1
孔子孟子热议午睡重要性,曰,崩溃,孔子曰：中午不睡，下午崩溃！孟子曰：孔子说的对！,1
