headline,word1,word2,joke
爱情悲剧：好起来不给空间，恨起来不给机会,给,空间,爱情的悲剧原因：好起来不给对方空间，恨起来不给对方机会。
王老汉话惊魂，公孙门从骨灰盒跃出,跳出来,骨灰盒,“这个段子有点正常啊。”王老汉说完公孙门干从骨灰盒里跳了出来。
老板拒降价引发顾客争议,降,价格,老板：一块五一斤。 我：太贵了，五块钱三斤吧。 老板：不行不行。
母亲话术引发女儿吐槽家庭财务,说,钱,一位客人鼓励她说：“不要紧，你妈妈平常说什么，你就照着什么说好了。” 女儿于是尖声地说：“老天！我为什么要请客？我们家的钱都流到哪儿去了？”
初恋情侣影院互点片名尴尬现场,望着,影片,傍晚，一对初恋青年男女相约去电影院。 姑娘：你最喜欢看什么影片？ 小伙子：《姑娘望着我》，你呢？ 姑娘：《南洋富翁》。
咖啡让员工下午更清醒,保持,清醒,我从不在午餐时喝咖啡。我发现它让我在下午保持清醒。
上帝是职业原谅者,原谅,职业,上帝肯定会原谅我的，因为那是他的职业。
草船借箭竟算出诸葛亮体重,算出,体重,看见诸葛亮的草船曹冲不慌不忙算出了诸葛亮的体重。
麦当劳竟无薯片引顾客吐槽,说,薯片,上次去麦当劳，对营业员说：来一包薯片，人家说没有。我说，什么店啊连薯片都没有，说完转身就走了。
网友怒斥他人算老几,鄙视,老几,"鄙视我的人那么多,你算老几?"
降落伞厂投诉部成最安静之地,投诉,部门,什么是世界上最安静的地方？降落伞包装厂的投诉部门。
夏天与冬天同房催生极端天气,同房,天气,老天，你让夏天和冬天同房了吧？生出这鬼天气!
男子学普通话翘舌错位引哄笑,分不清,舌头,某男学习普通话，他平舌和翘舌分不清，结果被培训老师指了出来你翘错地方了（指舌头）。于是引来一堂哄笑。
小朋友恋爱趣事：看月亮换糖,愿意,看月亮,小朋友谈恋爱。 男孩:我爱你愿意和我一起看月亮吗? 女孩:有糖我就去.
假奶粉比草还无营养引热议,吃,奶粉,假的婴儿奶粉还没有草有营养，当初还不如吃草了！
成功越多亲戚越多,越多,亲戚,成功是相对的 - 成功越多，亲戚就越多。
变态界奇葩现象引热议,算是,奇葩,你也算是变态界的一朵奇葩。
植物人四肢发达却摸不到头脑,摸到,头脑,怪不得植物人普遍四肢发达，摸不到头脑。
家里静电严重 操作电器需擦气球,擦,气球,温妮和我住在一个静电的房子里。如果你想运行搅拌机，你必须在头上擦气球。如果你想做饭，你必须快速脱掉一件毛衣。
学生迟到称要送猪配种,送去,公猪,乡村小学的一个学生迟到，他向老师解释说：我今天早晨要把一头猪送去配种。 老师问：这事你爸爸不能做吗？ 不行，一定要公猪才行。
孩子吐槽妈妈不漂亮，奶奶更出众,说,漂亮,这天我买了件新衣服，想臭美一下，便问两岁半的儿子：“宝贝，妈妈漂亮不？” 儿子答曰：“妈妈不漂亮，奶奶漂亮！”
新社会为何无包办婚姻,包办,婚姻,万恶的新社会啊，为什么你就没有包办婚姻了？
别重温过去，专注未来,担心,未来,当我可以花费时间来担心未来时，为什么要浪费时间重温过去呢？
男友反讽女友不如人,比不上,女朋友,女：你每一样东西都比不上任何人！ 男：对，尤其是女朋友！
网红卸妆引发网友热议,迷恋,姐,不要迷恋姐，姐卸了妆要你吐血。
送葬队伍去黑暗处，乞丐儿子质疑家境,抬,棺材,一对送葬的队伍抬着一个棺材，路边乞丐的儿子问：爸爸，他们去哪里呢？乞丐说：去一个黑暗的地方，没有吃，没有喝。乞丐的儿子说：那不是我们住的地方吗？
鼠妈妈自称从医院院长家拿药,拿来,医院,你主人买的药怎能同我的比呢？鼠妈妈不紧不慢地说：我是从市第一医院的院长家里拿来的嘛。
妻子定义退休：丈夫支付两倍多,支付,退休,妻子对退休的定义：丈夫支付的两倍多。
饭店服务员难招，态度恶劣成特色,管管,服务员,朋友开一饭店，最大的特色是：服务员态度恶劣。 劝朋友：“得管管了。” 朋友：“不敢管，说句重话就都不干了。小蜜好找，服务员难招！”
科学家称失败是已知的5万种无效方法,知道,方法,有人问一位科学家：“你试验一种新型电池总是失败，为什么还要继续试验？” 科学家回答：“失败？我从来没有失败过，我现在已经知道了5万种不能制造这种电池的方法。”
公司开会决定再开会讨论年会时间,决定,会,职员：“经理，你们的会开了这么久，做出什么决定了？” 经理：“是啊，我们决定下周再开一次会，讨论一下年会什么时候开。”
内存充足却无盘空间,购买,内存,当你最终购买足够的内存时，你将没有足够的磁盘空间。
分手后同学吐槽男友专业太‘土’,吐槽,土木,一女生跟男朋友分手了，旁边她同学安慰她：“那男的有什么好，土木工程的，一听就知道又“土”又“木”的！” 旁边软件工程的男同学一听，心都凉了半截…
孩子怒喊关太阳,关,太阳,清晨，阳光刺到了正在酣睡中的儿子的脸上。儿子不耐烦地喊道：关灯！ 妈妈答道：这哪是灯呀？这是太阳。儿子又咆哮起来：关太阳。
恩格斯解析男女爱的属性差异,爱,属性,恩格斯说，男人爱女人的自然属性，女人爱男人的社会属性。
手术后女性被救护车撞倒,走出,医院,她在最后一次手术后走出医院，立即被救护车撞倒。
海滩租房惊现好友暴增奇景,租,房子,在海滩上租房子之前，你永远不会知道有多少朋友。
地球缺人反而反向旋转,反着,转动,这地球少了谁都照样转，就是少了我会反着转。
网友吐槽生活没心没肺,没心,感觉,没心没肺没感觉，没情没爱没顾虑。
人有时是鸟，有时是挡风玻璃,是,鸟,有时你是鸟，有时你是挡风玻璃。
数学芯片竟是破碎算盘,破碎,算盘,定义：数学芯片 - 一块破碎的算盘。
贪吃被指过分引发热议,贪吃,界限,贪吃没什么不对，只要你不过分。
男人一见钟情省时秘籍曝光,节省,时间,为什么男人一见钟情？它为他们节省了大量时间。
网友吐槽失眠16小时醒一次,总是,失眠,不知道怎么搞的最近总是失眠，16小时就醒一次。
网友热议死亡姿势帅不帅,死帅,姿势,你觉得横着还是竖着死帅一些？哥可以成全你！
女生偷瞄引发监考尴尬,偷瞄,监考,现在的女生太不害臊了，老是偷瞄我，搞得我都不好意思监考了。
儿子夸托蒂妈吐槽拖地,拖,托蒂,偶在家看世界杯时说：“偶喜欢托蒂！” 妈妈在旁边听见了说：“哼，说得好听，我怎么没见你拖！”
男女安全感偏好大反转,吸引,男人,女人喜欢有安全感的男人；男人却往往被缺乏安全感的女人吸引。
学生误用数学概念遭语文老师吐槽,答,半斤,语文老师：“哪有‘半斤五两’这句成语？” 学生：“考数学时，我答半斤等于八两得了零分。” 语文老师：“记住，作文时不能用老秤。”
丈夫吐槽电梯只到单数层,爬,楼,老公去找工作回来跟老婆抱怨：“今天累死了，爬了18层楼！” 问他为什么不坐电梯，还以为电梯坏了。 结果老公愤恨地说：“电梯只到单数层下！”
名人树立坏榜样引热议,习惯,榜样,我并非完全无用......我可以习惯于树立一个坏榜样。
冲锋号响起时，卧底躲进壕沟,躲进,壕沟,每当冲锋号响起，我就赶紧躲进壕沟里，因为：我是卧底！
刺猬因刺多被划入剃头名单,剃,刺,刺猬：近不得，远不得，有名的刺儿头，早被划入“剃头”之列。
中美母亲喂婴方式引发网络热议,喂养,牙签,如果美国母亲用小汤匙喂养婴儿，中国母亲会用什么 - 牙签？
儿子收到空白短信，妈妈回称是翻白眼,翻,白眼,一天，儿子用短信和妈妈聊天，突然他收到一条空白短信，很是奇怪，便发短信问妈妈这是什么意思。 妈妈回曰：“这表示我向你翻白眼。”
高考前座女生狐臭致考生失智,失智,狐臭,高考的时候前座女生狐臭，特别严重，窗户在她那边，我坐她后面全程失智，根本没法呼吸。最后数学考砸了，到现在都恨她。
饭店屏风题字引笑料，老板问生意服务员回‘万里无云’,问,云,楼下饭店门口有个屏风，写了四个大字：客如云来。 上星期路过，看到老板正站在屏风前问服务员:“今天生意咋样？” 服务员：“万里无云。”
自由的真正品味引发热议,奋斗,自由,那些为之奋斗的人都知道自由的真正品味。
苏格兰口音成为网络热议焦点,注意到,口音,阅读此内容时，您可以注意到最好的苏格兰口音。
孩子考分反转玩奖励游戏,奖励,分数,儿子考试回来说：“妈妈，我考了一百分你怎么奖励我啊？” 妈妈说：“奖励100元怎么样啊？” 儿子说：“我考了50分，你先奖赏我50元吧。”
道路标志引发逻辑悖论,不住,家里,矛盾的道路标志：如果你已经不在家，那你就不住在这里。
丈夫误入电脑回收站寻稿纸,找,回收站,小强的妻子是电脑迷。 小强：我的稿纸呢？ 妻子：在回收站里面。 小强：回收站在哪里？ 妻子：在桌面。 小强就一直在桌上找。
单身男人拒绝被提问,不要,问题,"讨厌啦,不要问单身男人这种问题！"
药店误拿治哑巴药引发笑料,指着,嘴巴,牙疼得要命，连话都说不了，去药店拿药，指着自己的嘴巴啊了两声，示意老板给拿点治牙疼的药。 老板瞟了一眼说：“治哑巴的药我这儿没有。”
狗洗澡后死亡引热议,洗澡,烘衣机,小贤：我昨天帮家里的狗洗澡，结果……死了。 小力：洗澡？不可能吧？ 小贤：嗯，如果不是洗衣机要了它的命，那么就是烘衣机了。
父亲下放喂马，儿子误解成会拍马,喂,马,儿子：“爸爸，你喂过马吗？” 爸爸：“是呀，下放农村时喂过。” 儿子：“怪不得叔叔阿姨们说你最会拍马……”
科学与自然的捕鼠器对决,建立,老鼠,科学的目标是建立一个更好的捕鼠器; 自然的目标是建立一个更好的老鼠。
学生被问谁是姐姐弟弟惊呆,问,弟弟,我上高中的时候和我弟弟一个班，他就坐在我后面。 一天晚上我们地理老师问我们：你们谁是姐姐？谁是弟弟？ 当时我就呆掉了！
学生玩手机却不忘看书引热议,玩,手机,指着成绩好的学生道：“你看，别人玩手机都不忘看书！”
程序员再不见世界,看到,世界,成为一名计算机程序员，再也不会看到这个世界。
男孩提议合买零食却因价格飙升导致‘死亡’,出,钱,一个男孩对女孩说，我们一人出5毛，我们就一块了。 我们一人出6毛，我们就一块二了。 我们一人出7毛就 一块四（死）了。
小偷家中藏满时装杂志，称好奇口袋位置,看,口袋,警察抓住一个小偷，并在其家中发现大量时装杂志。 警察十分不解地问：“你想做服装生意吗？” 小偷不好意思地说：“主要是看新款服装口袋在哪里。”
网友调侃鞋垫颜值引发热议,踩,鞋垫,长张鞋垫脸，就别怪人踩着。
网友挑战被反向‘疾弛’,疾弛,马后炮,有人向我挑战说：你放马过来。我不回话，只是疾弛而去，然后马后炮打倒他。
不锈钢公鸡引发网络热议,留,铁锈,铁公鸡还会留点铁锈呢，你根本就是个不锈钢公鸡！
胖子称重惊现数字反转趣事,称,体重,某人是个大胖子，一天，他去称体重，大喜：我只有30公斤。 家人一看，原来他是300公斤，表转了一圈又回来了
经理飞机上承诺嫁人反被嘲空话,承诺,嫁人,经理追求女秘书。 亲爱的，你不是答应嫁给我吗？ 我在哪里说过这话？ 飞机上。 哦，那是空话。
普罗米修斯吐槽偷火更方便,偷,火,普罗米修斯：从地狱偷火是不是更方便，更方便？
学生误称屈原是医生引热议,说是,大夫,在历史课堂上，老师问一个学生：屈原是什么人？ 是医生。 胡说！ 怎么胡说呢，书上明明说他是大夫嘛。
情侣互许来世与永生,希望,永生,男：你在想什么？ 女：我希望来世还能和你在一起。 男：…… 女：你在想什么？ 男：我希望这一世能永生。
丈夫谈妻子缺失生活影响,开销,妻子,两个男人在谈论他们的妻子。 杰克：“你是否想过没有她你会怎样生活？” 马丁：“开销更少。”
误将‘漂亮’说成‘便宜’引热议,说成,女朋友,昨天有个人说要给我介绍一个女朋友，我本来想问“漂亮吗”，结果说成“便宜吗”。 汗死自己！
历史反复提醒我们学不到东西,学到,历史,历史告诉我们，我们从历史中学到的一切。
父母打孩子实为爱的表现,打,爱,爸妈打你，都是因为爱你，如果不爱你，早就打死你了。
儿子作弊未遂父亲反被说服,作弊,成绩,父亲看完儿子的成绩单后说：有一点我可以相信，看你这种成绩，就知道你考试没有作弊。 儿子：不是没有作弊，是作弊没有成功。
妈妈一句英文提问引出家庭‘屁吃’梗,问,屁吃,一家人吃桃。 妈妈问：“桃的英文怎么说？” 女儿答：“Peach.” 妈妈对爸爸说：“给你个‘屁吃’”
教师提问引发学生误判时态,说,漂亮,英语女教师笑盈盈地问学生：“当我说‘我很漂亮’的时候，这是什么时态？” 学生们异口同声地回答：“过去时，老师。”
人类大脑仅用10%？真相竟是系统开销,运行,容量,人的头脑通常仅以其容量的10％运行 - 其余的是操作系统的开销。
学生吐槽考试摸底缺乏心理准备,摸,底,老师来到教室通知道：“同学们，明天我们要进行摸底考试，大家好好准备一下，这节课上自习。” 一学生在下面嘀咕道：“老师，我们心里没‘底’，还是别摸了。”
家庭称呼引发神学幽默,被称为,幽灵,父亲，儿子和圣灵不被称为爸爸，少年和幽灵。
借钱需知钱的价值,知道,钱,如果你知道钱的价值，试着借一些。
学生偷用鼠标引发电脑崩溃,插,鼠标,新买了一个无线鼠标，悄悄把接收头插在同学机箱后面的usb口上，然后偷偷的在一边移动鼠标，同学看到后惊叹不止。 然后换鼠标，拔网线，杀毒，重装系统……
房地产歌讽百姓苦痛,铸,百姓,房地产之歌:铸我百姓千年苦，尽君一时盛世欢！
宝宝发红发出咕噜声引发家长关注,发出,咕噜声,两分钟警告：当宝宝的脸变红并开始发出那些熟悉的咕噜声时。
狼狗饮食习惯引热议,吃,屎,狼行天下，吃肉；狗行天下，吃屎。
一半心情看电视够了,看,电视,如果你有一半的心情去看电视 - 这就足够了！
网友调侃如何整死爱人,整死,爱人,我拿什么整死你的爱人。
加班夜归发现陌生男人鞋消失,发现,鞋,加班，半夜回家，打开门，发现地上多了一双陌生男人的鞋。 在屋子里转了一圈，没人啊！回头再看，那双鞋不见了…… 谁能告诉我这是神马情况？
大小并不决定好坏,意味着,太阳花,大并不一定意味着更好......太阳花并不比紫罗兰更好。
说服女人需花钱,说服,女人,世界上最困难的事情之一就是说服一个女人，即便讨价还价也要花钱。
人生必修课：记住与忘记的智慧,记住,忘记,记住该记住的，忘记该忘记的。改变能改变的，接受不能改变的。
孕妇误将胖当同学,让座,胖,我站起身来给一孕妇让座，她疑惑地看了看我，忽然明白过来，哭笑不得道：同学，我这是胖！
失眠者陷入自我思考的循环,想,睡不着,晚上失眠，翻来覆去的。 室友便好奇道：干嘛呢？ 我：睡不着…… 室友：有啥好想，蒙头便睡就是。 我：我在想我为什么睡不着。 室友：……
作曲家幽默回应工程师住址问题,敲开,八度,一年轻人敲开了作曲家的房子，说：请问，罗西工程师是在这里住吗？ 不，作曲家回答，罗西工程师的家比我高两个八度。
谎言如何获得位置,得到,位置,谎言没有腿站立，但它得到了位置。
光棍汉幽默自嘲：岳母流产致无妻,流,产,光棍汉想到自己没媳妇，便自我安慰：不是我找不到，是我岳母大人流-产了！
提问引发反讽：你不该问的问题,不喜欢,答案,如果你不喜欢这个答案，你就不应该问这个问题。
实习老师姓李却说草字头,说,李,实习老师第一堂课自我介绍道：“我姓李，草字头的李。”
青年提亲误称‘伯姨’引笑谈,叫了,伯姨,初次见岳母，顺便提亲，不知该如何称呼她，是普通青年叫阿姨，还是文艺青年叫伯母，最后2B的叫了声，伯姨! 把她给逗乐了，顺利拿下婚事!
夫妻互呛失恋成就论,讨厌,出头,妻子：你由于失恋，后来发奋起来，才有今日那样的成就。 丈夫：我在那时，你若讨厌我，我到今天也出人头地了。
课堂上学生误答代词引发笑点,说出,代词,语法课上，约翰思想开了小差。突然教师问道：约翰，你能说出两个代词吗？ 约翰站起来，摇摇头说：谁？我！
女儿吐槽父母隐瞒弟弟对象,吹,对象,女儿：妈，就照您说的，他要是养活他妈，我就跟他吹！ 母亲：嘘小声点，别让里屋听到。 女儿：里屋还有谁呀？ 母亲：你弟弟的对象。
司机澄清非超速驾驶,驾驶,车,我不是超速驾驶我只是驾驶我的车。
员工因答毫升问题被罚50元,脱口而出,ml,一哥们，不知道哪根筋乱了，问我，毫升用字母表示是什么？ 公司众mm在整理文件，我脱口而出ml。后来因为行为不检点罚了50元。
维生素字母未被发现,发现,字母,共有26种维生素，但有些字母还未被发现。
单身汉错过机会致女性悲惨,错过,机会,单身汉：一个错过机会让一些女人悲惨的男人。
宿舍哥们药铺继承人裸贴膏药过期,贴,狗皮膏药,茂儿宿舍有一哥们儿，家里开药铺的。一天茂儿回宿舍，见这哥们儿上身儿赤裸，贴满了狗皮膏药，茂儿惊问：大哥，咋了？ 大哥说：明儿就过期了。
生活不易真相曝光,活,生活,生，容易。活，容易。生活，不容易。
拇指缺失导致计数系统崩溃,使用,拇指,如果不使用拇指，八进制计数就像十进制计数一样。
财富与放弃的哲学选择,放弃,财富,如果你有很多，给你的财富; 如果你有一点点，那就放弃你的心。
同事逛街叹奶粉价，立志争气,争气,奶粉,和同事逛街，看到婴儿奶粉的价格，这姑娘叹口气。 很深沉地拍拍自己的胸：“一定要争气啊…”
局长给孩子喝老酸奶后再次‘确诊’非亲生,喝,老酸奶,药监局局长怀疑孩子不是亲生的，做了签定，果然。 于是，很贴心的给孩子喝老酸奶，有点小病就吃修正胶囊。不久，又果然了。
乐观者先乐后忧引发热议,先乐,忧乐,一个乐观的人处事态度应该是：先天下之忧而乐，先天下之乐而乐。
富豪遗嘱藏抽奖惊喜,举行,抽奖,有个有钱人得了绝症，眼看要死了，就偷偷把自己的钱分成好多份，立下遗嘱：每年清明让家人在他的墓前团聚，先祭奠他，然后举行……抽奖活动。
手表电池寿命超人命引发争议,号称,寿命,这表号称电池比人的寿命还长，果然第二天人就死了。
不能自嘲者将岗位让出,自嘲,工作,那些不能自嘲的人将这份工作留给别人。
孩子钻被窝被父亲怒斥,钻,被窝,两岁儿子夜里往妈妈被窝里钻，要妈妈抱。 父亲大叫一声：“别随便动，那是我老婆！”
房客像鱼发臭引发邻里投诉,发臭,房客,像鱼一样的房客，第三天过后就发臭了。
网友调侃：不喜欢就走，有人会喜欢,离开,喜欢,如果你不喜欢我，你就马上离开我，有人会喜欢我的。
员工被要求立即上诉,立即,上诉,几分钟之后，他的老板回电报指示：“立即上诉！”
自负者混入鹤群竟鸡鸣,鸡鸣,鹤群,那些自负的人嘛，总会不由地鸡鸣于鹤群之中。
鹿群误认警察开枪吓退,打,枪,鹿群慢慢的向他走来，他得手心开始出汗，他闭上眼猛地从树林中跳了出来，向天空打了一枪，并喊到：都不许动，我是警察！
过年狗狗贴图藏‘发’‘福’字打击减肥计划,发,福,过年时我老妈买了一对狗狗的贴图，结果我发现一个上面写着“发”字，一个上面写着“福”字，这不是严重打击我减肥积极性么……
网友误称彩屏实为液晶,说,显示器,朋友问我电脑配置，我说显示器是彩屏的。(本来是想说液晶的)
学生画虎被误认成狗,画,老虎,儿子：爸爸，我们老师连老虎都没见过。 父亲：你怎么知道的？ 儿子：昨天，我把我画的老虎拿给他看，他问我画的是不是狗。
结扎后妻子怀孕引热议,结扎,怀孕,甲：“给我讲个悲剧吧?” 乙：“男人结扎完，妻子流产了。” 甲：“有没有更悲剧的?” 乙：“男人结扎完，妻子怀孕了……”
感官增强引发体面危机,增强,感觉,我没有体面的感觉。这样，我的所有其他感官都得到了增强。
夫妻看电影后发现家被洗劫,洗劫,电影票,"夫妇感到奇怪,晚上就拿着信封中的两张电影票去看电影了。等结束后回到家里,发现家中贵重物品被洗劫一空,在桌上有一封信,上写:你们知道是谁请你们看电影了吧?"
人后行走竟成助人前进,帮助,前进,当我向后走时，感觉就像我正在帮助其他人更快地前进。
妻子调侃丈夫梦话实为谈话时刻,说,梦话,女：“医生，我丈夫老是说梦话。” 医生：“不要紧，我给你开一张处方，定能治好。” 女：“不用了！那是他同我谈话的唯一时刻。”
丈夫误读妻子凝望橱窗之意,凝望,热茶,亲爱的！你误会我的意思了。丈夫对正在凝望着裘皮店橱窗的妻子说，我提议找点东西暖和一下，意思是指喝杯热茶什么的。
70后被调侃像阿富汗,变得,阿富汗,70后，他们变得像阿富汗。大多数人都知道它在哪里，但没有人想去那里。
妈妈取俗名引热议,叫,妈妈,一个妈妈生了一个女孩取名美丽。 别人问她，为何要取这么俗的名字。 那个妈妈回答说：这样，别人才会叫我美丽的妈妈呀！
胖子跌倒后无法爬起引热议,跌倒,胖子,胖子跌倒了是根本爬不起来的。
钥匙投入熔岩河引发网络热议,放进,熔岩,如果你把钥匙放进熔岩熔岩的河里，那就让他们去吧，因为，伙计，他们已经走了。
师生互呛：特意睡觉 vs 特意吵闹,特意,睡觉,老师对一个睡觉刚醒的学生说：“我特意大声讲课，你却故意睡觉。” “我特意睡觉，你却故意大声吵闹。”学生回答说。
男孩走过水坑变男人,走过,水坑,当一个男孩走过一个水坑而不是通过它时，他就变成了男人。
商家误称水牛肉引争议,注,牛肉,约翰太太买了牛肉回家，发觉牛肉注了水。第二天，她找到卖牛肉的商人论理。 商人坦然地说：“我卖的本来就是水牛肉嘛！”
男子走路平衡鼻梁上的家谱,平衡,家谱,他走路时好像平衡了他鼻子上的家谱。
蘑菇因潮湿而长成雨伞形状,生长,雨伞,蘑菇总是生长在潮湿的地方，这就是它们看起来像雨伞的原因。
学生惧怕知识逃跑,捂,耳朵,有一天上课了，老师发现小明用手捂着左耳朵。 老师问：小明你为什么用手捂者你的左耳朵？ 小明说：我害怕知识跑了。
新手司机误踩制动踏板致严重事故,误踩,制动踏板,新手司机不慎将制动踏板当成刹车酿成悲剧——建议封楼主永久。
学生编笑故事遭老师吐槽,爱上,凤姐,老师说：大家都来说一个故事，开头恐怖、中间好笑、结局悲惨的故事。例如，从前有个鬼，放了个屁，最后死了。 小强说：遇到凤姐，爱上凤姐，娶了凤姐。
隧道尽头有光，商家急推更多隧道,订购,隧道,如果隧道尽头有光......请订购更多隧道。
妻子回娘家实为心疼丈夫,回去,混蛋,一对夫妻吵架，妻子生气就回了娘家，那天突然要回家。 她母亲：“你原谅他了？” 妻子：“才不呢！我回去是不想让那混蛋一个人在家过好日子！”
爱的反比关系曝光,成反比,程度,有人对你的爱的程度与你爱他们的程度成反比。
建筑师称夫妻时光筑牢关系基础,享受,时光,这位建筑师说他很享受与妻子在一起的时间，为持久的关系奠定了坚实的基础。
丈夫吐槽妻子不高兴的奇葩事,让,妻子,很少有事情让我的妻子不高兴。成为其中之一让我觉得很特别。
孔子吐槽蜜月让夫妻变虚弱,变得,虚弱,孔子说......夫妻俩在7天的蜜月会让自己变得虚弱。
光棍节网友自曝怕被安慰,怕,安慰,光棍节那天没敢上线，怕有人安慰我。现在明白，我真是想多了！
童年梦想成真一半：从警察梦到当叔叔,实现,警察,“你小时候的梦想实现了吗？” “实现了一半……那时侯想当警察叔叔……现在当上了叔叔。”
阑尾手术后体重下降15公斤？医生笑称不可能,减轻,阑尾,病人：我做了阑尾手术之后，体重减轻了差不多15公斤。 外科医生：瞧你说的，哪有15公斤重的阑尾！
隐士换头大蒜试效,换头,大蒜,一天一个苹果，可以把医生赶跑；如果你要想当个隐士，换头大蒜试试。
用错筛子导致容不下沙子,容下,筛子,你之所以容不下沙子，是你用的选面粉的筛子，太细微了。我之所以能把你忍下，是我用了捕大鱼的网子，让小鱼都溜过去了。
